COUNTY,year,n,nMMR,nDTP,nPolio,nPBE,nPME,cases,rates,avg_DTP,cases/n,avg_PBE/PME
SHASTA,2010,2078,1769,1764,1753,125,3,32,18.03,0.848893167,0.015399423,0.06159769
SHASTA,2011,2197,1850,1849,1855,173,5,27,15.16,0.841602185,0.012289486,0.081019572
SHASTA,2012,2103,1760,1763,1760,172,5,2,1.12,0.838326201,0.000951022,0.084165478
SHASTA,2013,2301,1855,1856,1865,190,9,7,3.92,0.806605824,0.003042156,0.086484137
SHASTA,2014,2186,1897,1887,1902,161,4,30,16.82,0.863220494,0.013723696,0.075480329
SIERRA,2010,28,26,26,25,2,0,0,0,0.928571429,0,0.071428571
SIERRA,2011,25,24,24,24,0,0,0,0,0.96,0,0
SIERRA,2012,18,18,18,18,0,0,0,0,1,0,0
SIERRA,2013,23,23,23,23,0,0,0,0,1,0,0
SIERRA,2014,25,25,25,25,0,0,0,0,1,0,0
SISKIYOU,2010,452,374,377,375,52,0,10,22.27,0.834070796,0.022123894,0.115044248
SISKIYOU,2011,435,374,370,370,34,0,0,0,0.850574713,0,0.07816092
SISKIYOU,2012,457,386,386,387,46,0,2,4.41,0.84463895,0.004376368,0.100656455
SISKIYOU,2013,427,351,354,359,57,1,5,11.05,0.829039813,0.011709602,0.135831382
SISKIYOU,2014,440,381,380,382,21,0,7,15.47,0.863636364,0.015909091,0.047727273
SOLANO,2010,5183,4988,4994,4965,71,14,40,9.68,0.963534632,0.007717538,0.016399768
SOLANO,2011,5267,5075,5055,5074,66,6,12,2.9,0.959749383,0.002278337,0.013670021
SOLANO,2012,5373,5137,5130,5156,84,8,10,2.38,0.954773869,0.001861158,0.01712265
SOLANO,2013,5360,5134,5128,5163,82,5,15,3.54,0.956716418,0.002798507,0.016231343
SOLANO,2014,5255,5015,5023,5043,95,4,145,34.26,0.95585157,0.027592769,0.018839201
SONOMA,2010,5915,5369,5362,5343,354,9,246,50.82,0.906508876,0.04158918,0.0613694
SONOMA,2011,6023,5536,5513,5514,303,5,116,23.83,0.915324589,0.019259505,0.051137307
SONOMA,2012,6523,5938,5936,5938,401,2,18,3.68,0.910010731,0.002759467,0.061781389
SONOMA,2013,6478,5884,5898,5901,388,12,51,10.36,0.910466193,0.0078728,0.061747453
SONOMA,2014,6466,5928,5944,5956,348,14,700,142.18,0.919270028,0.108258583,0.055985153
STANISLAUS,2010,8457,8041,8066,8030,275,5,159,30.86,0.953766111,0.018800993,0.033108667
STANISLAUS,2011,8570,8145,8113,8145,279,4,43,8.3,0.946674446,0.005017503,0.03302217
STANISLAUS,2012,8489,8024,8012,8040,342,7,11,2.1,0.943809636,0.001295795,0.041112027
STANISLAUS,2013,9109,8577,8574,8592,370,26,16,3.03,0.941266879,0.001756505,0.043473488
STANISLAUS,2014,8852,8356,8351,8389,284,13,90,17.07,0.943402621,0.010167194,0.03355174
SUTTER,2010,1729,1573,1574,1571,120,5,5,5.28,0.910352805,0.002891845,0.072296125
SUTTER,2011,1683,1536,1535,1540,108,5,1,1.06,0.912061794,0.000594177,0.067142008
SUTTER,2012,1651,1465,1468,1471,143,3,0,0,0.889158086,0,0.088431254
SUTTER,2013,1717,1559,1566,1573,126,1,2,2.06,0.912055911,0.001164822,0.07396622
SUTTER,2014,1840,1685,1682,1697,108,6,8,8.25,0.914130435,0.004347826,0.061956522
TEHAMA,2010,915,855,863,855,35,3,10,15.75,0.943169399,0.010928962,0.041530055
TEHAMA,2011,910,858,869,871,32,1,1,1.57,0.954945055,0.001098901,0.036263736
TEHAMA,2012,892,841,838,837,41,2,0,0,0.939461883,0,0.048206278
TEHAMA,2013,996,943,948,948,39,1,0,0,0.951807229,0,0.040160643
TEHAMA,2014,946,907,906,908,33,1,38,59.9,0.957716702,0.040169133,0.035940803
TRINITY,2010,116,95,95,95,20,0,0,0,0.818965517,0,0.172413793
TRINITY,2011,81,69,68,68,8,0,0,0,0.839506173,0,0.098765432
TRINITY,2012,91,75,73,73,15,0,0,0,0.802197802,0,0.164835165
TRINITY,2013,98,75,74,74,21,0,0,0,0.755102041,0,0.214285714
TRINITY,2014,87,77,76,77,6,0,5,37.21,0.873563218,0.057471264,0.068965517
TULARE,2010,8323,8113,8107,8073,80,7,230,51.91,0.974047819,0.027634266,0.010452962
TULARE,2011,8529,8268,8264,8286,84,7,77,17.2,0.968929535,0.009028022,0.010669481
TULARE,2012,8640,8291,8291,8305,105,4,27,5.97,0.959606481,0.003125,0.012615741
TULARE,2013,8695,8459,8438,8465,134,10,25,5.48,0.970442783,0.002875216,0.016561242
TULARE,2014,9286,9045,9031,9057,86,12,38,8.33,0.972539306,0.004092182,0.010553521
TUOLUMNE,2010,435,341,347,343,43,0,32,58.03,0.797701149,0.073563218,0.098850575
TUOLUMNE,2011,494,379,398,396,60,1,4,7.27,0.805668016,0.008097166,0.123481781
TUOLUMNE,2012,446,349,352,349,51,0,1,1.85,0.789237668,0.002242152,0.114349776
TUOLUMNE,2013,518,401,398,401,79,1,2,3.68,0.768339768,0.003861004,0.154440154
TUOLUMNE,2014,438,353,361,366,30,0,16,29.48,0.824200913,0.03652968,0.068493151
VENTURA,2010,11830,10848,10835,10770,350,33,372,45.09,0.915891801,0.031445478,0.032375317
VENTURA,2011,12111,11166,11075,11092,351,24,163,19.63,0.914457931,0.013458839,0.030963587
VENTURA,2012,12000,10987,10963,10981,409,27,15,1.8,0.913583333,0.00125,0.036333333
VENTURA,2013,11757,10705,10672,10746,393,25,36,4.28,0.907714553,0.003062006,0.035553287
VENTURA,2014,12048,11044,11065,11131,361,11,349,41.53,0.918409695,0.028967463,0.030876494
YOLO,2010,2423,2235,2229,2210,69,3,17,8.44,0.919933966,0.007016096,0.029715229
YOLO,2011,2568,2415,2420,2431,71,2,5,2.47,0.942367601,0.00194704,0.028426791
YOLO,2012,2406,2240,2249,2252,82,1,6,2.93,0.934746467,0.002493766,0.034497091
YOLO,2013,2555,2372,2374,2381,94,3,4,1.94,0.929158513,0.001565558,0.037964775
YOLO,2014,2478,2330,2333,2331,78,2,145,70.32,0.941485069,0.058514931,0.0322841
YUBA,2010,1214,1093,1091,1086,28,1,3,4.15,0.898682043,0.00247117,0.023887974
YUBA,2011,1222,1123,1116,1126,27,1,0,0,0.913256956,0,0.022913257
YUBA,2012,1231,1107,1110,1118,32,5,1,1.37,0.90170593,0.000812348,0.030056864
YUBA,2013,1274,1193,1196,1208,31,0,4,5.46,0.93877551,0.003139717,0.02433281
YUBA,2014,1251,1206,1209,1212,27,1,10,13.65,0.966426859,0.007993605,0.022382094
